measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Muertes,55,Eslovenia,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,1,Número,2005,150.1198380193676,159.25610919921323,136.74968063590973
1,Muertes,55,Eslovenia,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,2,Porcentaje,2005,0.008279415780059245,0.008738850484991876,0.007591572619583431
1,Muertes,90,Noruega,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,1,Número,2007,426.4094944962567,451.4148547025457,373.78041059589646
1,Muertes,90,Noruega,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,2,Porcentaje,2007,0.010219759203609003,0.010822053626897973,0.008967454314575119
1,Muertes,90,Noruega,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,1,Número,2005,410.10664560599463,435.5605786359733,360.4859000400736
1,Muertes,90,Noruega,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,2,Porcentaje,2005,0.009929726664128797,0.01050404409229679,0.008751419376193986
1,Muertes,92,España,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,1,Número,2009,5189.53432019858,5541.713966773019,4523.03658740418
1,Muertes,92,España,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,2,Porcentaje,2009,0.013579867970776191,0.014505116203434486,0.0118350905795109
1,Muertes,76,Bélgica,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,1,Número,2009,1138.05573328487,1218.0272146544296,1001.014352872673
1,Muertes,76,Bélgica,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,2,Porcentaje,2009,0.01097315743842165,0.011714118853176922,0.009667805521646545
1,Muertes,76,Bélgica,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,1,Número,2007,1061.3351750084644,1131.1438833352656,940.6222729945328
1,Muertes,76,Bélgica,3,Ambos,22,Todas las edades,544,Enfermedad de Parkinson,2,Porcentaje,2007,0.010477696825792493,0.01116023967594398,0.009273523876540768
